dataset,architecture,sparsity,metric_name,metric_value
cora,gat,0.1,accuracy,0.7919999957084656
cora,gat,0.2,accuracy,0.7929999828338623
cora,gat,0.3,accuracy,0.7940000295639038
cora,gat,0.4,accuracy,0.7919999957084656
cora,gat,0.5,accuracy,0.7910000085830688
cora,gat,0.6,accuracy,0.7879999876022339
cora,gat,0.7,accuracy,0.7829999923706055
cora,gat,0.8,accuracy,0.7879999876022339
cora,gat,0.9,accuracy,0.777999997138977
cora,gcn,0.1,accuracy,0.8009999990463257
cora,gcn,0.2,accuracy,0.8059999942779541
cora,gcn,0.3,accuracy,0.8059999942779541
cora,gcn,0.4,accuracy,0.8009999990463257
cora,gcn,0.5,accuracy,0.800000011920929
cora,gcn,0.6,accuracy,0.7929999828338623
cora,gcn,0.7,accuracy,0.7990000247955322
cora,gcn,0.8,accuracy,0.7509999871253967
cora,gcn,0.9,accuracy,0.718999981880188
wisconsin,gcn,0.1,macro_f1,0.2703225806451613
wisconsin,gcn,0.2,macro_f1,0.2703225806451613
wisconsin,gcn,0.3,macro_f1,0.26111702127659575
wisconsin,gcn,0.4,macro_f1,0.26111702127659575
wisconsin,gcn,0.5,macro_f1,0.26111702127659575
wisconsin,gcn,0.6,macro_f1,0.2658585858585859
wisconsin,gcn,0.7,macro_f1,0.24649859943977587
wisconsin,gcn,0.8,macro_f1,0.18944281524926687
wisconsin,gcn,0.9,macro_f1,0.16331313131313133
