dataset,architecture,sparsity,metric_name,metric_value
cora,gat,0.1,accuracy,0.7919999957084656
cora,gat,0.2,accuracy,0.7919999957084656
cora,gat,0.3,accuracy,0.7950000166893005
cora,gat,0.4,accuracy,0.7950000166893005
cora,gat,0.5,accuracy,0.7940000295639038
cora,gat,0.6,accuracy,0.7900000214576721
cora,gat,0.7,accuracy,0.7850000262260437
cora,gat,0.8,accuracy,0.7739999890327454
cora,gat,0.9,accuracy,0.7279999852180481
cora,gcn,0.1,accuracy,0.7979999780654907
cora,gcn,0.2,accuracy,0.800000011920929
cora,gcn,0.3,accuracy,0.8019999861717224
cora,gcn,0.4,accuracy,0.8009999990463257
cora,gcn,0.5,accuracy,0.7960000038146973
cora,gcn,0.6,accuracy,0.7860000133514404
cora,gcn,0.7,accuracy,0.7799999713897705
cora,gcn,0.8,accuracy,0.7459999918937683
cora,gcn,0.9,accuracy,0.640999972820282
wisconsin,gcn,0.1,macro_f1,0.2703225806451613
wisconsin,gcn,0.2,macro_f1,0.2703225806451613
wisconsin,gcn,0.3,macro_f1,0.2703225806451613
wisconsin,gcn,0.4,macro_f1,0.2703225806451613
wisconsin,gcn,0.5,macro_f1,0.2703225806451613
wisconsin,gcn,0.6,macro_f1,0.26111702127659575
wisconsin,gcn,0.7,macro_f1,0.26233766233766237
wisconsin,gcn,0.8,macro_f1,0.25717909996979765
wisconsin,gcn,0.9,macro_f1,0.20917748917748918
